任务,特征方案,模型,验证集准确率,验证集平衡准确率,验证集F1_macro,测试集准确率,测试集平衡准确率,测试集F1_macro,测试集Precision_macro,测试集Recall_macro,训练耗时秒,错误信息
任务2_产地溯源,S960单光谱,逻辑回归,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.034,
任务2_产地溯源,S960单光谱,线性SVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.076,
任务2_产地溯源,R210+S960双光谱,线性SVM,1.0,1.0,1.0,0.9833333333333333,0.9833333333333334,0.9833287024173382,0.9838709677419355,0.9833333333333334,0.051,
任务2_产地溯源,R210+S960双光谱,RBF_SVM,1.0,1.0,1.0,0.9833333333333333,0.9833333333333334,0.9833287024173382,0.9838709677419355,0.9833333333333334,0.021,
任务2_产地溯源,R210+S960双光谱,逻辑回归,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9666295884315907,0.96875,0.9666666666666667,0.059,
任务2_产地溯源,S960单光谱,LightGBM分类,0.9833333333333333,0.9833333333333334,0.9833287024173382,1.0,1.0,1.0,1.0,1.0,0.657,
任务2_产地溯源,R210+S960双光谱,LightGBM分类,0.9833333333333333,0.9833333333333334,0.9833287024173382,1.0,1.0,1.0,1.0,1.0,1.318,
任务2_产地溯源,S960单光谱,RBF_SVM,0.9666666666666667,0.9666666666666667,0.9666295884315907,1.0,1.0,1.0,1.0,1.0,0.018,
任务2_产地溯源,R210+S960双光谱,极端随机树分类,0.9666666666666667,0.9666666666666667,0.9666295884315907,0.9833333333333333,0.9833333333333334,0.9833287024173382,0.9838709677419355,0.9833333333333334,0.163,
任务2_产地溯源,S960单光谱,极端随机树分类,0.9666666666666667,0.9666666666666667,0.9666295884315907,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.15,
任务2_产地溯源,S960单光谱,随机森林分类,0.9666666666666667,0.9666666666666667,0.9666295884315907,0.9333333333333333,0.9333333333333333,0.9332591768631813,0.9352678571428572,0.9333333333333333,0.35,
任务2_产地溯源,R210+S960双光谱,XGBoost分类,0.95,0.95,0.9499861072520144,0.9833333333333333,0.9833333333333334,0.9833287024173382,0.9838709677419355,0.9833333333333334,1.7,
任务2_产地溯源,S960单光谱,XGBoost分类,0.95,0.95,0.9499861072520144,0.9666666666666667,0.9666666666666667,0.9666295884315907,0.96875,0.9666666666666667,1.632,
任务2_产地溯源,R210+S960双光谱,随机森林分类,0.95,0.95,0.9499861072520144,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.387,
任务2_产地溯源,R210单光谱,线性SVM,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9332591768631813,0.9352678571428572,0.9333333333333333,0.013,
任务2_产地溯源,S960单光谱,K近邻分类,0.9333333333333333,0.9333333333333333,0.9332591768631813,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.027,
任务2_产地溯源,R210单光谱,逻辑回归,0.8833333333333333,0.8833333333333333,0.883300916921367,0.9166666666666666,0.9166666666666667,0.9166435120866907,0.9171301446051168,0.9166666666666667,0.016,
任务2_产地溯源,R210+S960双光谱,K近邻分类,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9332591768631813,0.9352678571428572,0.9333333333333333,0.086,
任务2_产地溯源,R210单光谱,RBF_SVM,0.7833333333333333,0.7833333333333333,0.7783461210571185,0.85,0.8500000000000001,0.8499583217560434,0.850389321468298,0.8500000000000001,0.006,
任务2_产地溯源,R210单光谱,极端随机树分类,0.7666666666666667,0.7666666666666666,0.7624434389140271,0.8333333333333334,0.8333333333333334,0.8331479421579533,0.8348214285714286,0.8333333333333334,0.117,
任务2_产地溯源,R210单光谱,XGBoost分类,0.75,0.75,0.7482517482517483,0.85,0.8500000000000001,0.8499583217560434,0.850389321468298,0.8500000000000001,0.294,
任务2_产地溯源,R210单光谱,LightGBM分类,0.75,0.75,0.7482517482517483,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.116,
任务2_产地溯源,R210单光谱,随机森林分类,0.7333333333333333,0.7333333333333334,0.7285067873303167,0.85,0.8500000000000001,0.849624060150376,0.8535353535353536,0.8500000000000001,0.222,
任务2_产地溯源,R210单光谱,K近邻分类,0.6833333333333333,0.6833333333333333,0.6760443307757886,0.8,0.8,0.7997775305895439,0.8013392857142857,0.8,0.021,
